player_name,salary,position,team,game,slate_type,player_image,player_id,draftable_id,game_start,updated_at
Towns McGough,4800,K,CAL,UCLA @ CAL,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8049.png,1506086,44025616,09/05/2026 10:30 PM,2026-09-04T16:50:48Z
Erik Peters,4800,K,CAL,UCLA @ CAL,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8049.png,1599281,44025617,09/05/2026 10:30 PM,2026-09-04T16:50:48Z
Chase Meyer,4800,K,CAL,UCLA @ CAL,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8049.png,1407605,44025618,09/05/2026 10:30 PM,2026-09-04T16:50:48Z
Chaston Ditta,4700,QB,UNT,UNT @ IU,Night,https://dkn.gs/sports/images/cfb/teams/50/9033.png,1583998,43974296,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Bo MacCormack III,4700,RB,BC,BC @ CINCY,Night,https://dkn.gs/sports/images/cfb/teams/50/7692.png,1598271,43974594,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Isaiah Mozee,4700,RB,NEB,OHIO @ NEB,Night,https://dkn.gs/sports/images/cfb/teams/50/7805.png,1583996,43974597,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Jaylen Jenkins,4700,RB,TXST,TXST @ TEX,Night,https://dkn.gs/sports/images/cfb/teams/50/9057.png,1400641,43974600,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Emmett Mosley V,4700,WR,TEX,TXST @ TEX,Night,https://dkn.gs/sports/images/cfb/teams/50/8240.png,1508236,43975050,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Jacory Barney Jr.,4700,WR,NEB,OHIO @ NEB,Night,https://dkn.gs/sports/images/cfb/teams/50/7805.png,1508717,43975053,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Brett Eskildsen,4700,WR,PSU,MRSHL @ PSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7880.png,1515199,43975056,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Trent Walker,4700,WR,UH,ORST @ UH,Night,https://dkn.gs/sports/images/cfb/teams/50/8224.png,1325660,43975059,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Raymond Moore III,4700,QB,UTEP,UTEP @ OU,Night,https://dkn.gs/sports/images/cfb/teams/50/8350.png,1606544,44006431,09/04/2026 08:00 PM,2026-09-04T16:50:45Z
Tavorus Jones,4700,RB,UTEP,UTEP @ OU,Night,https://dkn.gs/sports/images/cfb/teams/50/8350.png,1390843,44006530,09/04/2026 08:00 PM,2026-09-04T16:50:45Z
Joshua Moore,4700,WR,MIA,MIA @ STAN,Night,https://dkn.gs/sports/images/cfb/teams/50/7704.png,1583065,44006698,09/04/2026 09:00 PM,2026-09-04T16:50:45Z
Landon Graves,4700,QB,ULM,ULM @ MSST,Night,https://dkn.gs/sports/images/cfb/teams/50/8388.png,1471838,44017821,09/05/2026 07:30 PM,2026-09-04T16:50:45Z
Chris Johnson Jr.,4700,RB,CLEM,CLEM @ LSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7610.png,1463386,44017971,09/05/2026 07:30 PM,2026-09-04T16:50:45Z
Chris Reed,4700,WR,SHSU,SHSU @ TROY,Night,,1400814,44018259,09/05/2026 07:00 PM,2026-09-04T16:50:45Z
Jonaz Walton,4700,RB,ND,WISC @ ND,Classic,https://dkn.gs/sports/images/cfb/teams/50/8394.png,1651441,44024301,09/06/2026 07:30 PM,2026-09-04T16:50:46Z
Tony Freeman,4700,WR,WSU,WSU @ UW,Classic,https://dkn.gs/sports/images/cfb/teams/50/8108.png,1510115,44024415,09/06/2026 04:00 PM,2026-09-04T16:50:46Z
Langston Lewis,4700,WR,CMU,CMU @ UNM,Night,https://dkn.gs/sports/images/cfb/teams/50/7991.png,1402250,44019360,09/05/2026 10:00 PM,2026-09-04T16:50:46Z
Jonaz Walton,4700,RB,ND,WISC @ ND,Night,https://dkn.gs/sports/images/cfb/teams/50/8394.png,1651441,44026100,09/06/2026 07:30 PM,2026-09-04T16:50:47Z
Tyler Mizzell,4600,QB,BALL,BALL @ OSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7980.png,1451640,43974298,09/05/2026 12:30 PM,2026-09-04T16:50:45Z
Emory Williams,4600,QB,ECU,ECU @ BAMA,Night,https://dkn.gs/sports/images/cfb/teams/50/8368.png,1442243,43974300,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Victor Rosa,4600,RB,OHIO,OHIO @ NEB,Night,https://dkn.gs/sports/images/cfb/teams/50/8018.png,1406009,43974603,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Zion Johnson,4600,RB,CINCY,BC @ CINCY,Night,https://dkn.gs/sports/images/cfb/teams/50/8364.png,1582664,43974606,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
